record_id,timestamp,vehicle_id,temp_zone,target_temp_low_c,target_temp_high_c,temp_c,pass_flag,sensor_fault_flag
CLD-001089,2025-01-03 08:15:00,,冷藏,2,8,4.22,,1
CLD-001103,2025-06-19 17:30:00,V-009,冷凍,-25,-18,,,1
CLD-000397,2025-03-19 16:30:00,V-003,冷凍,-25,-18,-19.24,1.0,0
CLD-000277,2025-03-01 21:30:00,V-018,冷藏,2,8,2.73,1.0,0
CLD-000310,2025-01-02 08:30:00,V-005,冷凍,-25,-18,-26.27,0.0,0
CLD-000961,2025-03-04 06:00:00,V-015,冷凍,-25,-18,-24.21,1.0,0
CLD-000740,2025-06-23 08:45:00,,冷藏,2,8,1.98,,1
CLD-000918,2025-05-03 12:45:00,V-008,冷藏,2,8,4.75,1.0,0
CLD-001152,2025-03-31 16:30:00,V-005,冷凍,-25,-18,-22.29,1.0,0
CLD-000761,2025-02-17 04:15:00,V-001,冷凍,-25,-18,-23.78,1.0,0
CLD-000069,2025-01-23 19:15:00,V-014,冷凍,-25,-18,-16.25,0.0,0
CLD-000202,2025-05-17 09:30:00,V-013,冷藏,2,8,8.36,0.0,0
CLD-000888,2025-06-19 20:15:00,V-004,冷藏,2,8,5.12,1.0,0
CLD-000254,2025-04-21 14:00:00,V-010,冷凍,-25,-18,,,1
CLD-000355,2025-01-28 19:00:00,V-001,冷凍,-25,-18,,,1
CLD-000223,2025-01-31 19:45:00,V-010,冷凍,-25,-18,-19.03,1.0,0
CLD-000106,2025-06-19 04:00:00,V-005,冷凍,-25,-18,-24.23,1.0,0
CLD-000596,2025-05-02 19:45:00,V-020,冷凍,-25,-18,-17.45,0.0,0
CLD-000026,2025-06-24 19:00:00,V-016,多溫層,-25,8,-10.32,1.0,0
CLD-001101,2025-02-21 00:30:00,V-007,冷藏,2,8,5.31,1.0,0
CLD-000281,2025-04-29 23:00:00,V-019,冷凍,-25,-18,-17.98,0.0,0
CLD-000275,2025-02-23 12:15:00,V-008,冷藏,2,8,5.91,1.0,0
CLD-000297,2025-04-15 00:30:00,V-013,冷藏,2,8,8.36,0.0,0
CLD-000268,2025-01-31 11:30:00,V-015,冷凍,-25,-18,-19.27,1.0,0
CLD-000779,2025-01-29 02:45:00,V-014,冷凍,-25,-18,-17.91,0.0,0
CLD-000817,2025-04-21 17:30:00,V-008,冷藏,2,8,1.68,0.0,0
CLD-001059,2025-06-15 00:15:00,V-016,多溫層,-25,8,-15.96,1.0,0
CLD-000588,2025-03-13 10:45:00,V-014,冷凍,-25,-18,-19.68,1.0,0
CLD-000499,2025-03-07 16:00:00,V-014,冷凍,-25,-18,-19.3,1.0,0
CLD-000882,2025-06-20 12:00:00,V-010,冷凍,-25,-18,-23.68,1.0,0
CLD-000497,2025-03-10 18:45:00,V-018,冷藏,2,8,4.54,1.0,0
CLD-000762,2025-03-15 11:45:00,V-001,冷凍,-25,-18,-19.05,1.0,0
CLD-001193,2025-06-05 12:45:00,V-016,多溫層,-25,8,7.68,1.0,0
CLD-000885,2025-01-07 08:45:00,V-016,多溫層,-25,8,-15.41,1.0,0
CLD-001181,2025-04-12 01:45:00,V-008,冷藏,2,8,,,1
CLD-000512,2025-03-17 00:30:00,V-005,冷凍,-25,-18,-20.17,1.0,0
CLD-001110,2025-03-18 20:45:00,V-006,冷藏,2,8,6.96,1.0,0
CLD-000480,2025-05-31 09:15:00,V-013,冷藏,2,8,1.73,0.0,0
CLD-000778,2025-05-04 22:00:00,V-007,冷藏,2,8,4.77,1.0,0
CLD-000487,2025-01-01 06:45:00,V-011,多溫層,-25,8,1.66,1.0,0
CLD-001075,2025-01-30 17:00:00,V-007,冷藏,2,8,8.93,0.0,0
