order_id,order_date,ship_datetime,delivery_datetime,customer_id,customer_name,region,temp_layer,qty,freight_twd,ship_before_deliver_ok
ORD-202502-00526,2025-02-17,2025-02-19 03:32:00,2025-02-20 20:32:00,C002,momo 購物網,高雄市,常溫,500,1217.9,True
ORD-202503-00731,2025-01-15,2025-01-15 19:42:00,2025-01-17 05:42:00,C001,7-11 零售連鎖,新北市,常溫,500,2426.9,True
ORD-202501-00288,2025-06-07,2025-06-07 21:04:00,2025-06-10 04:04:00,C002,momo 購物網,桃園市,常溫,500,3103.7,True
ORD-202502-00581,2025-01-17,2025-01-18 14:13:00,2025-01-21 02:13:00,C006,全聯福利中心,新北市,常溫,499,2119.4,True
ORD-202503-00203,2025-05-26,2025-05-28 00:24:00,2025-05-30 01:24:00,C005,蝦皮購物,新竹市,常溫,499,4090.0,True
ORD-202506-00006,2025-05-18,2025-05-20 03:49:00,2025-05-21 23:49:00,C002,momo 購物網,桃園市,常溫,498,2292.6,True
ORD-202503-00159,2025-02-27,2025-02-27 13:36:00,2025-02-28 09:36:00,C008,PChome 24h,台中市,常溫,498,3423.5,True
ORD-202501-00602,2025-02-23,2025-02-24 18:03:00,2025-02-27 03:03:00,C008,PChome 24h,新北市,常溫,497,853.9,True
ORD-202506-00048,2025-02-03,2025-02-04 18:56:00,2025-02-07 14:56:00,C007,統一生鮮,高雄市,冷凍,496,3644.7,True
ORD-202503-00222,2025-03-10,2025-03-11 22:41:00,2025-03-13 09:41:00,C006,全聯福利中心,新北市,冷藏,495,2070.3,True
ORD-202502-00189,2025-06-28,2025-06-30 05:44:00,2025-06-30 12:44:00,C007,統一生鮮,台北市,冷藏,495,2520.4,True
ORD-202505-00611,2025-01-29,2025-01-31 02:35:00,2025-02-01 16:35:00,C003,水產鮮活 B2B,桃園市,冷藏,495,3912.0,True
ORD-202506-00135,2025-06-07,2025-06-08 12:28:00,2025-06-09 00:28:00,C003,水產鮮活 B2B,桃園市,冷藏,494,1977.9,True
ORD-202504-00066,2025-06-23,2025-06-25 13:03:00,2025-06-27 08:03:00,C007,統一生鮮,桃園市,冷凍,494,4086.0,True
ORD-202502-00126,2025-02-17,2025-02-18 16:53:00,2025-02-18 23:53:00,C008,PChome 24h,基隆市,常溫,494,2562.2,True
ORD-202503-00129,2025-06-30,2025-07-01 23:18:00,2025-07-03 10:18:00,C003,水產鮮活 B2B,新竹市,冷藏,493,3395.4,True
ORD-202504-00037,2025-05-07,2025-05-09 06:05:00,2025-05-09 12:05:00,C005,蝦皮購物,台北市,常溫,493,3060.4,True
ORD-202501-00483,2025-06-16,2025-06-17 18:29:00,2025-06-20 02:29:00,C006,全聯福利中心,台南市,冷藏,493,1816.3,True
ORD-202503-00355,2025-05-23,2025-05-23 19:57:00,2025-05-26 13:57:00,C006,全聯福利中心,新北市,冷藏,493,3799.9,True
ORD-202502-00187,2025-03-06,2025-03-08 12:08:00,2025-03-09 12:08:00,C008,PChome 24h,台北市,冷藏,492,4491.8,True
ORD-202506-00196,2025-03-14,2025-03-15 17:24:00,2025-03-15 21:24:00,C005,蝦皮購物,台南市,常溫,492,2882.5,True
ORD-202504-00700,2025-02-23,2025-02-24 06:20:00,2025-02-26 10:20:00,C003,水產鮮活 B2B,台中市,冷凍,492,187.3,True
ORD-202501-00205,2025-02-11,2025-02-12 14:40:00,2025-02-12 20:40:00,C003,水產鮮活 B2B,台北市,冷凍,491,1872.1,True
ORD-202503-00484,2025-06-05,2025-06-06 02:27:00,2025-06-08 00:27:00,C006,全聯福利中心,新竹市,常溫,491,2340.2,True
ORD-202503-00661,2025-06-30,2025-07-01 11:38:00,2025-07-02 06:38:00,C002,momo 購物網,桃園市,常溫,490,1441.4,True
ORD-202503-00282,2025-06-20,2025-06-20 22:16:00,2025-06-21 08:16:00,C007,統一生鮮,桃園市,冷藏,490,3672.6,True
ORD-202503-00630,2025-05-16,2025-05-16 22:00:00,2025-05-19 00:00:00,C002,momo 購物網,基隆市,常溫,490,842.0,True
ORD-202506-00114,2025-06-26,2025-06-28 09:05:00,2025-06-30 06:05:00,C003,水產鮮活 B2B,高雄市,冷凍,489,2274.1,True
ORD-202502-00747,2025-05-23,2025-05-25 12:33:00,2025-05-27 07:33:00,C005,蝦皮購物,桃園市,常溫,489,2064.8,True
ORD-202501-00754,2025-04-16,2025-04-18 12:54:00,2025-04-21 12:54:00,C007,統一生鮮,桃園市,冷凍,488,4228.6,True
ORD-202503-00669,2025-06-15,2025-06-16 00:35:00,2025-06-16 07:35:00,C004,家樂福全聯,桃園市,常溫,487,754.6,True
ORD-202506-00051,2025-06-17,2025-06-18 12:53:00,2025-06-20 17:53:00,C003,水產鮮活 B2B,高雄市,冷凍,487,1123.6,True
ORD-202501-00748,2025-04-07,2025-04-08 00:29:00,2025-04-08 15:29:00,C004,家樂福全聯,基隆市,冷藏,487,3868.7,True
ORD-202502-00793,2025-03-23,2025-03-24 18:01:00,2025-03-26 05:01:00,C007,統一生鮮,新北市,冷藏,487,2265.55,True
ORD-202503-00542,2025-03-28,2025-03-29 00:52:00,2025-03-30 16:52:00,C008,PChome 24h,高雄市,常溫,486,4359.7,True
ORD-202501-00725,2025-04-10,2025-04-11 16:46:00,2025-04-12 15:46:00,C004,家樂福全聯,新北市,常溫,485,2201.0,True
