customer_id,churn_prob,Recency,Frequency,Monetary,ComplaintCnt,Segment_D4,cluster_name,main_reason,suggested_action
C1358,0.9947486871717929,364,1,12295,1,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1397,0.9947486871717929,360,0,10808,2,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1373,0.9947486871717929,360,1,8726,0,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1444,0.9947486871717929,357,1,23346,2,G7 Hibernating,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1485,0.9947486871717929,354,1,8046,2,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1469,0.9947486871717929,350,0,5394,0,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1377,0.9947486871717929,349,1,11792,1,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1416,0.9947486871717929,349,2,9852,0,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1478,0.9947486871717929,347,0,3286,1,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1447,0.9947486871717929,346,0,10146,1,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
