customer_id,Recency,Frequency,Monetary,ComplaintCnt,Tenure,AvgOrder,Segment_D4,cluster,cluster_name,Churn
C1117,75,0,45044,0,1940,0,G7 Hibernating,3,穩定中段,0
C1369,108,0,12006,1,2028,0,G8 Lost,2,流失高風險,0
C0423,39,10,63291,1,1156,6329,G2 Loyal,1,VIP 高頻高額,0
C0414,41,9,14304,1,343,1589,G8 Lost,2,流失高風險,0
C0452,37,8,16951,0,834,2119,G8 Lost,3,穩定中段,0
C0862,20,9,61382,0,416,6820,G1 VIP(Champions),1,VIP 高頻高額,0
C1064,67,2,23423,1,1787,11712,G7 Hibernating,2,流失高風險,0
C0742,28,10,41033,1,958,4103,G1 VIP(Champions),1,VIP 高頻高額,0
C1273,77,0,7169,2,426,0,G8 Lost,2,流失高風險,0
C0260,24,9,56393,1,1235,6266,G1 VIP(Champions),1,VIP 高頻高額,0
C0889,11,10,6887,0,2045,689,G8 Lost,3,穩定中段,0
C1433,219,0,12665,2,2980,0,G8 Lost,0,沉睡客戶,0
C0713,15,10,27761,0,192,2776,G2 Loyal,1,VIP 高頻高額,0
C1383,312,1,4078,1,1440,4078,G8 Lost,0,沉睡客戶,1
C0071,11,18,51566,1,653,2865,G1 VIP(Champions),1,VIP 高頻高額,0
C1269,119,3,26989,0,546,8996,G7 Hibernating,3,穩定中段,0
C1492,299,0,12197,1,1315,0,G8 Lost,0,沉睡客戶,1
C0608,23,9,29470,0,1003,3274,G2 Loyal,1,VIP 高頻高額,0
C0434,32,10,31087,0,2344,3109,G2 Loyal,1,VIP 高頻高額,0
C0052,19,10,80441,0,2740,8044,G1 VIP(Champions),1,VIP 高頻高額,0
C1200,90,4,18865,1,333,4716,G8 Lost,2,流失高風險,0
C1129,86,0,10592,0,2486,0,G8 Lost,3,穩定中段,0
C1191,66,2,10251,1,736,5126,G8 Lost,2,流失高風險,1
C1250,62,1,10648,1,2768,10648,G8 Lost,2,流失高風險,0
C1420,251,3,3562,0,1349,1187,G8 Lost,0,沉睡客戶,1
C0433,26,4,48222,0,1842,12056,G3 Big Spenders,3,穩定中段,0
C1453,153,0,15369,0,1768,0,G8 Lost,3,穩定中段,0
C1471,95,0,5372,2,428,0,G8 Lost,2,流失高風險,1
C1235,108,2,36305,0,972,18152,G7 Hibernating,3,穩定中段,0
C1282,106,0,11044,0,502,0,G8 Lost,3,穩定中段,0
C1086,82,3,37764,0,2757,12588,G7 Hibernating,3,穩定中段,0
C0611,44,6,49877,3,2751,8313,G8 Lost,2,流失高風險,0
C1285,60,2,8158,1,522,4079,G8 Lost,2,流失高風險,0
C1042,64,4,10447,0,237,2612,G8 Lost,3,穩定中段,0
C0221,18,9,24107,1,2560,2679,G2 Loyal,1,VIP 高頻高額,0
C0340,36,9,36715,0,1727,4079,G2 Loyal,1,VIP 高頻高額,0
C0424,22,8,79103,1,1433,9888,G1 VIP(Champions),1,VIP 高頻高額,0
C0429,11,10,83088,1,673,8309,G1 VIP(Champions),1,VIP 高頻高額,0
C1106,67,0,11881,0,2208,0,G8 Lost,3,穩定中段,0
C0077,28,10,43558,0,2611,4356,G1 VIP(Champions),1,VIP 高頻高額,0
C1392,250,0,25263,1,834,0,G7 Hibernating,0,沉睡客戶,1
C0440,5,9,34794,0,2979,3866,G1 VIP(Champions),1,VIP 高頻高額,0
C1337,109,3,6159,2,2686,2053,G8 Lost,2,流失高風險,1
C0865,52,11,28993,0,2227,2636,G6 At Risk,1,VIP 高頻高額,0
C1081,62,3,50696,1,1657,16899,G7 Hibernating,2,流失高風險,0
C0355,17,8,21655,0,1655,2707,G2 Loyal,3,穩定中段,0
C0366,38,11,23636,1,2248,2149,G2 Loyal,1,VIP 高頻高額,0
C0310,29,8,71869,0,1665,8984,G1 VIP(Champions),1,VIP 高頻高額,0
C0737,20,6,16545,1,2258,2758,G5 Potential Loyalists,2,流失高風險,0
C0999,105,3,18895,1,1071,6298,G8 Lost,2,流失高風險,0
C0622,19,9,93771,0,780,10419,G1 VIP(Champions),1,VIP 高頻高額,0
C0544,18,7,57117,0,2517,8160,G5 Potential Loyalists,1,VIP 高頻高額,0
C1141,41,2,11997,1,1395,5998,G8 Lost,2,流失高風險,0
C1297,105,2,4311,3,2698,2156,G8 Lost,2,流失高風險,1
C0555,7,6,120455,1,486,20076,G5 Potential Loyalists,1,VIP 高頻高額,0
C0680,39,4,10016,0,260,2504,G8 Lost,3,穩定中段,0
C0050,2,13,193062,0,1679,14851,G1 VIP(Champions),1,VIP 高頻高額,0
C0491,18,12,10460,0,1300,872,G8 Lost,3,穩定中段,0
C0317,3,5,32501,0,1962,6500,G5 Potential Loyalists,3,穩定中段,0
C0905,50,2,25717,0,1418,12858,G7 Hibernating,3,穩定中段,0
C0637,20,11,36163,1,2379,3288,G1 VIP(Champions),1,VIP 高頻高額,0
C0561,8,8,40795,0,300,5099,G1 VIP(Champions),1,VIP 高頻高額,0
C0487,40,9,25677,0,1356,2853,G2 Loyal,3,穩定中段,0
C0068,21,13,55898,1,540,4300,G1 VIP(Champions),1,VIP 高頻高額,0
C0812,20,5,36380,3,377,7276,G5 Potential Loyalists,2,流失高風險,0
C0494,12,5,25226,1,458,5045,G5 Potential Loyalists,2,流失高風險,0
C0311,28,9,25783,0,862,2865,G2 Loyal,1,VIP 高頻高額,0
C1097,61,4,8284,0,2134,2071,G8 Lost,3,穩定中段,0
C1248,96,3,5712,0,2697,1904,G8 Lost,3,穩定中段,0
C0185,34,12,85000,2,1969,7083,G2 Loyal,1,VIP 高頻高額,0
C0307,21,7,53048,0,603,7578,G5 Potential Loyalists,1,VIP 高頻高額,0
C0853,13,7,28713,0,768,4102,G5 Potential Loyalists,3,穩定中段,0
C0793,36,5,31395,0,934,6279,G8 Lost,3,穩定中段,0
C0290,5,11,48697,2,97,4427,G1 VIP(Champions),1,VIP 高頻高額,0
C0707,42,7,8420,0,669,1203,G8 Lost,3,穩定中段,0
C1330,114,1,19317,3,1791,19317,G8 Lost,2,流失高風險,1
C0655,12,7,26754,0,830,3822,G5 Potential Loyalists,3,穩定中段,0
C0523,47,10,25699,1,1234,2570,G6 At Risk,1,VIP 高頻高額,0
C0462,32,9,7143,2,2278,794,G8 Lost,2,流失高風險,0
C0931,54,3,15322,1,2285,5107,G8 Lost,2,流失高風險,0
