order_id,customer_id,sku_id,sku_name
T00000,C0069,SKU_001,尿布
T00000,C0069,SKU_003,啤酒
T00000,C0069,SKU_024,口香糖
T00001,C0092,SKU_009,礦泉水
T00001,C0092,SKU_025,衛生紙
T00001,C0092,SKU_029,SKU_NEW_001
T00002,C0974,SKU_001,尿布
T00002,C0974,SKU_007,可樂
T00002,C0974,SKU_028,茶包
T00003,C0625,SKU_001,尿布
T00003,C0625,SKU_002,起司
T00003,C0625,SKU_003,啤酒
T00003,C0625,SKU_004,紅酒
T00003,C0625,SKU_006,米
T00003,C0625,SKU_007,可樂
T00003,C0625,SKU_008,醬油
T00003,C0625,SKU_011,杯麵
T00003,C0625,SKU_013,果醬
T00003,C0625,SKU_020,葡萄
T00004,C0158,SKU_003,啤酒
T00004,C0158,SKU_009,礦泉水
T00004,C0158,SKU_013,果醬
T00005,C0268,SKU_012,麵包
T00006,C0474,SKU_007,可樂
T00006,C0474,SKU_024,口香糖
T00007,C0093,SKU_009,礦泉水
T00007,C0093,SKU_014,雪碧
T00008,C0286,SKU_009,礦泉水
T00008,C0286,SKU_024,口香糖
T00009,C0488,SKU_001,尿布
T00009,C0488,SKU_003,啤酒
T00009,C0488,SKU_006,米
T00009,C0488,SKU_008,醬油
T00009,C0488,SKU_012,麵包
T00009,C0488,SKU_013,果醬
T00009,C0488,SKU_023,洋芋片
T00009,C0488,SKU_025,衛生紙
T00010,C0406,SKU_004,紅酒
T00010,C0406,SKU_006,米
T00010,C0406,SKU_008,醬油
T00010,C0406,SKU_009,礦泉水
T00010,C0406,SKU_010,寶特瓶飲料
T00010,C0406,SKU_015,牛奶
T00010,C0406,SKU_019,橘子
T00010,C0406,SKU_023,洋芋片
T00010,C0406,SKU_025,衛生紙
T00011,C0255,SKU_007,可樂
T00011,C0255,SKU_017,蘋果
T00011,C0255,SKU_030,SKU_NEW_002
T00012,C0132,SKU_005,塑膠袋
T00012,C0132,SKU_007,可樂
T00012,C0132,SKU_010,寶特瓶飲料
T00012,C0132,SKU_019,橘子
T00012,C0132,SKU_021,餅乾
T00012,C0132,SKU_028,茶包
T00013,C0802,SKU_009,礦泉水
T00013,C0802,SKU_013,果醬
T00013,C0802,SKU_020,葡萄
T00013,C0802,SKU_025,衛生紙
T00013,C0802,SKU_028,茶包
T00014,C0578,SKU_010,寶特瓶飲料
T00014,C0578,SKU_014,雪碧
T00014,C0578,SKU_027,洗髮精
T00014,C0578,SKU_028,茶包
T00014,C0578,SKU_029,SKU_NEW_001
T00015,C0652,SKU_003,啤酒
T00015,C0652,SKU_007,可樂
T00016,C0381,SKU_024,口香糖
T00017,C0035,SKU_010,寶特瓶飲料
T00017,C0035,SKU_015,牛奶
T00018,C0621,SKU_004,紅酒
T00019,C0758,SKU_002,起司
T00019,C0758,SKU_003,啤酒
T00019,C0758,SKU_004,紅酒
T00019,C0758,SKU_014,雪碧
T00019,C0758,SKU_015,牛奶
T00019,C0758,SKU_022,巧克力
T00020,C0553,SKU_001,尿布
T00020,C0553,SKU_002,起司
T00020,C0553,SKU_004,紅酒
T00020,C0553,SKU_005,塑膠袋
T00020,C0553,SKU_006,米
T00020,C0553,SKU_007,可樂
T00020,C0553,SKU_008,醬油
T00020,C0553,SKU_009,礦泉水
T00020,C0553,SKU_022,巧克力
T00020,C0553,SKU_025,衛生紙
T00021,C0437,SKU_011,杯麵
T00021,C0437,SKU_022,巧克力
T00022,C1257,SKU_004,紅酒
T00022,C1257,SKU_007,可樂
T00022,C1257,SKU_008,醬油
T00022,C1257,SKU_009,礦泉水
T00022,C1257,SKU_016,豆漿
T00023,C0823,SKU_001,尿布
T00023,C0823,SKU_010,寶特瓶飲料
T00023,C0823,SKU_015,牛奶
T00023,C0823,SKU_024,口香糖
T00024,C0761,SKU_024,口香糖
T00025,C1305,SKU_001,尿布
T00025,C1305,SKU_003,啤酒
T00025,C1305,SKU_009,礦泉水
T00025,C1305,SKU_010,寶特瓶飲料
T00025,C1305,SKU_016,豆漿
T00025,C1305,SKU_030,SKU_NEW_002
T00026,C0140,SKU_002,起司
T00026,C0140,SKU_004,紅酒
T00026,C0140,SKU_009,礦泉水
T00026,C0140,SKU_023,洋芋片
T00027,C0053,SKU_009,礦泉水
T00027,C0053,SKU_021,餅乾
T00027,C0053,SKU_024,口香糖
T00028,C0454,SKU_002,起司
T00028,C0454,SKU_004,紅酒
T00028,C0454,SKU_027,洗髮精
T00029,C0210,SKU_001,尿布
T00029,C0210,SKU_003,啤酒
T00029,C0210,SKU_008,醬油
T00029,C0210,SKU_017,蘋果
T00030,C0576,SKU_001,尿布
T00030,C0576,SKU_003,啤酒
T00030,C0576,SKU_005,塑膠袋
T00030,C0576,SKU_007,可樂
T00030,C0576,SKU_008,醬油
T00030,C0576,SKU_010,寶特瓶飲料
T00031,C0942,SKU_006,米
T00031,C0942,SKU_008,醬油
T00031,C0942,SKU_011,杯麵
T00031,C0942,SKU_013,果醬
